locality,region,pop,proper
deer-lodge,mt,3042,Deer Lodge
dell,mt,100,Dell
denton,mt,208,Denton
dillon,mt,3983,Dillon
divide,mt,329,Divide
dixon,mt,602,Dixon
dodson,mt,126,Dodson
drummond,mt,274,Drummond
dupuyer,mt,163,Dupuyer
dutton,mt,307,Dutton
east-glacier-park,mt,414,East Glacier Park
east-helena,mt,1974,East Helena
edgar,mt,118,Edgar
ekalaka,mt,405,Ekalaka
elliston,mt,373,Elliston
elmo,mt,357,Elmo
emigrant,mt,660,Emigrant
ennis,mt,961,Ennis
essex,mt,186,Essex
ethridge,mt,36,Ethridge
eureka,mt,1441,Eureka
fairfield,mt,764,Fairfield
fairview,mt,882,Fairview
fallon,mt,420,Fallon
fishtail,mt,446,Fishtail
flaxville,mt,62,Flaxville
florence,mt,5728,Florence
floweree,mt,263,Floweree
forest-grove,mt,138,Forest Grove
forsyth,mt,1601,Forsyth
fort-benton,mt,1453,Fort Benton
fort-harrison,mt,27,Fort Harrison
fort-peck,mt,239,Fort Peck
fort-shaw,mt,498,Fort Shaw
fort-smith,mt,182,Fort Smith
fortine,mt,625,Fortine
frazer,mt,574,Frazer
frenchtown,mt,2028,Frenchtown
froid,mt,195,Froid
fromberg,mt,406,Fromberg
galata,mt,237,Galata
gallatin-gateway,mt,2384,Gallatin Gateway
gardiner,mt,1160,Gardiner
garrison,mt,197,Garrison
garryowen,mt,473,Garryowen
geraldine,mt,207,Geraldine
geyser,mt,360,Geyser
gildford,mt,212,Gildford
glasgow,mt,3203,Glasgow
glen,mt,238,Glen
glendive,mt,4832,Glendive
glentana,mt,17,Glentana
gold-creek,mt,172,Gold Creek
grass-range,mt,113,Grass Range
great-falls,mt,60347,Great Falls
greycliff,mt,124,Greycliff
hall,mt,368,Hall
hamilton,mt,4955,Hamilton
hammond,mt,180,Hammond
hardin,mt,3762,Hardin
harlem,mt,767,Harlem
harlowton,mt,940,Harlowton
harrison,mt,297,Harrison
hathaway,mt,30,Hathaway
haugan,mt,125,Haugan
havre,mt,9276,Havre
hays,mt,1210,Hays
heart-butte,mt,690,Heart Butte
helena,mt,33070,Helena
helmville,mt,256,Helmville
heron,mt,732,Heron
highwood,mt,522,Highwood
hilger,mt,249,Hilger
hingham,mt,129,Hingham
hinsdale,mt,435,Hinsdale
hobson,mt,183,Hobson
hogeland,mt,140,Hogeland
homestead,mt,68,Homestead
hot-springs,mt,583,Hot Springs
hungry-horse,mt,891,Hungry Horse
huntley,mt,2267,Huntley
huson,mt,1295,Huson
hysham,mt,278,Hysham
ingomar,mt,23,Ingomar
inverness,mt,137,Inverness
ismay,mt,20,Ismay
jackson,mt,146,Jackson
jefferson-city,mt,594,Jefferson City
joliet,mt,596,Joliet
joplin,mt,385,Joplin
jordan,mt,364,Jordan
judith-gap,mt,108,Judith Gap
kalispell,mt,26312,Kalispell
kevin,mt,156,Kevin
kila,mt,1525,Kila
kinsey,mt,162,Kinsey
kremlin,mt,105,Kremlin
lakeside,mt,2501,Lakeside
lambert,mt,425,Lambert
lame-deer,mt,3038,Lame Deer
larslan,mt,56,Larslan
laurel,mt,7183,Laurel
lavina,mt,136,Lavina
ledger,mt,194,Ledger
lewistown,mt,6047,Lewistown
libby,mt,2944,Libby
lima,mt,212,Lima
lincoln,mt,1171,Lincoln
lindsay,mt,149,Lindsay
livingston,mt,8628,Livingston
lloyd,mt,40,Lloyd
lodge-grass,mt,433,Lodge Grass
lolo,mt,6601,Lolo
loma,mt,156,Loma
lonepine,mt,95,Lonepine
loring,mt,71,Loring
lothair,mt,53,Lothair
malta,mt,1857,Malta
manhattan,mt,2121,Manhattan
marion,mt,1654,Marion
martin-city,mt,280,Martin City
martinsdale,mt,203,Martinsdale
marysville,mt,67,Marysville
mcallister,mt,435,McAllister
mcleod,mt,130,McLeod
medicine-lake,mt,248,Medicine Lake
melrose,mt,186,Melrose
melstone,mt,129,Melstone
melville,mt,123,Melville
miles-city,mt,8435,Miles City
milltown,mt,40,Milltown
missoula,mt,75373,Missoula
moccasin,mt,142,Moccasin
molt,mt,919,Molt
monarch,mt,103,Monarch
moore,mt,197,Moore
mosby,mt,22,Mosby
musselshell,mt,191,Musselshell
nashua,mt,300,Nashua
neihart,mt,43,Neihart
norris,mt,156,Norris
noxon,mt,905,Noxon
nye,mt,242,Nye
oilmont,mt,103,Oilmont
olive,mt,47,Olive
olney,mt,328,Olney
opheim,mt,74,Opheim
otter,mt,50,Otter
outlook,mt,84,Outlook
ovando,mt,195,Ovando
pablo,mt,376,Pablo
paradise,mt,226,Paradise
park-city,mt,1946,Park City
peerless,mt,88,Peerless
pendroy,mt,96,Pendroy
philipsburg,mt,851,Philipsburg
pinesdale,mt,840,Pinesdale
plains,mt,1158,Plains
plentywood,mt,1681,Plentywood
plevna,mt,171,Plevna
polaris,mt,100,Polaris
polebridge,mt,190,Polebridge
polson,mt,5308,Polson
pompeys-pillar,mt,244,Pompeys Pillar
pony,mt,204,Pony
poplar,mt,762,Poplar
powderville,mt,41,Powderville
power,mt,634,Power
pray,mt,101,Pray
proctor,mt,215,Proctor
pryor,mt,660,Pryor
ramsay,mt,343,Ramsay
rapelje,mt,217,Rapelje
ravalli,mt,173,Ravalli
raymond,mt,122,Raymond
raynesford,mt,156,Raynesford
red-lodge,mt,2380,Red Lodge
redstone,mt,67,Redstone
reed-point,mt,544,Reed Point
reserve,mt,178,Reserve
rexford,mt,81,Rexford
richey,mt,162,Richey
richland,mt,104,Richland
ringling,mt,37,Ringling
roberts,mt,1407,Roberts
rollins,mt,269,Rollins
ronan,mt,2085,Ronan
roscoe,mt,113,Roscoe
rosebud,mt,355,Rosebud
roundup,mt,1811,Roundup
roy,mt,357,Roy
rudyard,mt,561,Rudyard
ryegate,mt,221,Ryegate
saco,mt,159,Saco
saint-ignatius,mt,793,Saint Ignatius
saint-marie,mt,428,Saint Marie
saint-regis,mt,941,Saint Regis
saint-xavier,mt,172,Saint Xavier
saltese,mt,15,Saltese
sand-coulee,mt,541,Sand Coulee
sand-springs,mt,65,Sand Springs
sanders,mt,44,Sanders
savage,mt,744,Savage
scobey,mt,1006,Scobey
seeley-lake,mt,1944,Seeley Lake
shawmut,mt,120,Shawmut
shelby,mt,3202,Shelby
shepherd,mt,3508,Shepherd
sheridan,mt,717,Sheridan
sidney,mt,6245,Sidney
silver-gate,mt,114,Silver Gate
silver-star,mt,276,Silver Star
simms,mt,329,Simms
somers,mt,1347,Somers
springdale,mt,13,Springdale
stanford,mt,404,Stanford
stevensville,mt,2108,Stevensville
stockett,mt,303,Stockett
stryker,mt,21,Stryker
sula,mt,302,Sula
sumatra,mt,3,Sumatra
sun-river,mt,358,Sun River
sunburst,mt,336,Sunburst
superior,mt,884,Superior
sweet-grass,mt,84,Sweet Grass
terry,mt,569,Terry
thompson-falls,mt,1396,Thompson Falls
three-forks,mt,1983,Three Forks
toston,mt,680,Toston
townsend,mt,1948,Townsend
trego,mt,763,Trego
trout-creek,mt,2023,Trout Creek
troy,mt,833,Troy
turner,mt,303,Turner
twin-bridges,mt,355,Twin Bridges
two-dot,mt,112,Two Dot
ulm,mt,712,Ulm
valier,mt,539,Valier
vandalia,mt,13,Vandalia
vaughn,mt,1394,Vaughn
victor,mt,4054,Victor
vida,mt,287,Vida
virginia-city,mt,224,Virginia City
volborg,mt,212,Volborg
walkerville,mt,641,Walkerville
warm-springs,mt,339,Warm Springs
west-glacier,mt,514,West Glacier
west-yellowstone,mt,1273,West Yellowstone
westby,mt,167,Westby
white-sulphur-springs,mt,967,White Sulphur Springs
whitefish,mt,8503,Whitefish
whitehall,mt,1033,Whitehall
whitetail,mt,23,Whitetail
whitewater,mt,177,Whitewater
whitlash,mt,60,Whitlash
wibaux,mt,462,Wibaux
willard,mt,214,Willard
willow-creek,mt,252,Willow Creek
wilsall,mt,822,Wilsall
winifred,mt,172,Winifred
winnett,mt,196,Winnett
winston,mt,412,Winston
wisdom,mt,310,Wisdom
wise-river,mt,212,Wise River
wolf-creek,mt,335,Wolf Creek
wolf-point,mt,2635,Wolf Point
worden,mt,1180,Worden
wyola,mt,576,Wyola
zortman,mt,116,Zortman
zurich,mt,48,Zurich
aberdeen,nc,9096,Aberdeen
advance,nc,15825,Advance
ahoskie,nc,4767,Ahoskie
alamance,nc,995,Alamance
albemarle,nc,16526,Albemarle
albertson,nc,1736,Albertson
alexander,nc,5591,Alexander
alexis,nc,1206,Alexis
alliance,nc,728,Alliance
almond,nc,488,Almond
altamahaw,nc,110,Altamahaw
andrews,nc,1670,Andrews
angier,nc,5693,Angier
ansonville,nc,443,Ansonville
apex,nc,68368,Apex
arapahoe,nc,419,Arapahoe
ararat,nc,2187,Ararat
archdale,nc,11944,Archdale
archer-lodge,nc,5033,Archer Lodge
arden,nc,22399,Arden
ash,nc,2710,Ash
asheboro,nc,27356,Asheboro
asheville,nc,94142,Asheville
askewville,nc,179,Askewville
atkinson,nc,311,Atkinson
atlantic,nc,604,Atlantic
atlantic-beach,nc,1398,Atlantic Beach
aulander,nc,736,Aulander
aurora,nc,452,Aurora
autryville,nc,172,Autryville
avon,nc,370,Avon
ayden,nc,5035,Ayden
aydlett,nc,884,Aydlett
badin,nc,1802,Badin
bahama,nc,6030,Bahama
bailey,nc,571,Bailey
bakersville,nc,453,Bakersville
bald-head-island,nc,270,Bald Head Island
balsam,nc,564,Balsam
balsam-grove,nc,220,Balsam Grove
banner-elk,nc,1079,Banner Elk
barco,nc,720,Barco
barnardsville,nc,2305,Barnardsville
bat-cave,nc,0,Bat Cave
bath,nc,244,Bath
battleboro,nc,4209,Battleboro
bayboro,nc,1147,Bayboro
bear-creek,nc,3726,Bear Creek
bear-grass,nc,85,Bear Grass
beaufort,nc,4586,Beaufort
beech-mountain,nc,664,Beech Mountain
belews-creek,nc,3486,Belews Creek
belhaven,nc,1410,Belhaven
belmont,nc,15212,Belmont
belvidere,nc,785,Belvidere
belville,nc,2451,Belville
belwood,nc,867,Belwood
bennett,nc,1615,Bennett
benson,nc,4125,Benson
bermuda-run,nc,3181,Bermuda Run
bessemer-city,nc,5512,Bessemer City
bethania,nc,348,Bethania
bethel,nc,1390,Bethel
beulaville,nc,1116,Beulaville
biltmore-forest,nc,1415,Biltmore Forest
biscoe,nc,1842,Biscoe
black-creek,nc,684,Black Creek
black-mountain,nc,8439,Black Mountain
bladenboro,nc,1641,Bladenboro
blanch,nc,2084,Blanch
blounts-creek,nc,1685,Blounts Creek
blowing-rock,nc,1377,Blowing Rock
boardman,nc,163,Boardman
bogue,nc,702,Bogue
boiling-spring-lakes,nc,6185,Boiling Spring Lakes
boiling-springs,nc,4669,Boiling Springs
bolivia,nc,153,Bolivia
bolton,nc,516,Bolton
bonlee,nc,60,Bonlee
boomer,nc,1666,Boomer
boone,nc,19767,Boone
boonville,nc,1188,Boonville
bostic,nc,356,Bostic
brasstown,nc,909,Brasstown
brevard,nc,7806,Brevard
bridgeton,nc,347,Bridgeton
broadway,nc,1289,Broadway
brookford,nc,424,Brookford
browns-summit,nc,13510,Browns Summit
brunswick,nc,1027,Brunswick
bryson-city,nc,1544,Bryson City
buies-creek,nc,990,Buies Creek
bullock,nc,1935,Bullock
bunn,nc,339,Bunn
bunnlevel,nc,4695,Bunnlevel
burgaw,nc,3261,Burgaw
burlington,nc,58756,Burlington
burnsville,nc,1625,Burnsville
butner,nc,8413,Butner
buxton,nc,1477,Buxton
cajahs-mountain,nc,2703,Cajahs Mountain
calabash,nc,2198,Calabash
calypso,nc,324,Calypso
camden,nc,4696,Camden
cameron,nc,247,Cameron
camp-lejeune,nc,22857,Camp Lejeune
candler,nc,28859,Candler
candor,nc,811,Candor
canton,nc,4431,Canton
cape-carteret,nc,2257,Cape Carteret
caroleen,nc,0,Caroleen
carolina-beach,nc,6640,Carolina Beach
carolina-shores,nc,4775,Carolina Shores
carrboro,nc,21217,Carrboro
carthage,nc,2841,Carthage
cary,nc,177463,Cary
casar,nc,304,Casar
cashiers,nc,1381,Cashiers
castalia,nc,264,Castalia
castle-hayne,nc,8597,Castle Hayne
caswell-beach,nc,400,Caswell Beach
catawba,nc,701,Catawba
cedar-grove,nc,2221,Cedar Grove
cedar-island,nc,170,Cedar Island
cedar-mountain,nc,562,Cedar Mountain
cedar-point,nc,1788,Cedar Point
cedar-rock,nc,299,Cedar Rock
cerro-gordo,nc,132,Cerro Gordo
chadbourn,nc,1549,Chadbourn
chapel-hill,nc,61295,Chapel Hill
charlotte,nc,882503,Charlotte
cherokee,nc,6854,Cherokee
cherry-point,nc,2729,Cherry Point
cherryville,nc,6154,Cherryville
chimney-rock,nc,144,Chimney Rock
chimney-rock-village,nc,139,Chimney Rock Village
china-grove,nc,4476,China Grove
chinquapin,nc,1632,Chinquapin
chocowinity,nc,752,Chocowinity
claremont,nc,1700,Claremont
clarendon,nc,1447,Clarendon
clarkton,nc,605,Clarkton
clayton,nc,28375,Clayton
clemmons,nc,21510,Clemmons
cleveland,nc,858,Cleveland
cliffside,nc,24,Cliffside
climax,nc,3068,Climax
clinton,nc,8304,Clinton
clyde,nc,1379,Clyde
coats,nc,2185,Coats
cofield,nc,265,Cofield
coinjock,nc,572,Coinjock
colerain,nc,213,Colerain
colfax,nc,5068,Colfax
collettsville,nc,150,Collettsville
columbia,nc,610,Columbia
columbus,nc,1075,Columbus
como,nc,65,Como
concord,nc,108029,Concord
conetoe,nc,200,Conetoe
connelly-springs,nc,1527,Connelly Springs
conover,nc,8488,Conover
conway,nc,737,Conway
cooleemee,nc,960,Cooleemee
corapeake,nc,2027,Corapeake
cordova,nc,535,Cordova
cornelius,nc,31717,Cornelius
corolla,nc,1279,Corolla
council,nc,385,Council
cove-city,nc,379,Cove City
cramerton,nc,5392,Cramerton
creedmoor,nc,4957,Creedmoor
creston,nc,1717,Creston
creswell,nc,207,Creswell
crossnore,nc,145,Crossnore
crouse,nc,2738,Crouse
crumpler,nc,1938,Crumpler
cullowhee,nc,10880,Cullowhee
cumberland,nc,51,Cumberland
currie,nc,1964,Currie
currituck,nc,3403,Currituck
dallas,nc,6025,Dallas
danbury,nc,187,Danbury
davidson,nc,15511,Davidson
davis,nc,275,Davis
deep-gap,nc,2196,Deep Gap
deep-run,nc,2790,Deep Run
delco,nc,1469,Delco
denton,nc,1516,Denton
denver,nc,24834,Denver
dillsboro,nc,209,Dillsboro
dobbins-heights,nc,693,Dobbins Heights
dobson,nc,1459,Dobson
dortches,nc,1089,Dortches
dover,nc,347,Dover
drexel,nc,1753,Drexel
dublin,nc,265,Dublin
duck,nc,755,Duck
dudley,nc,9985,Dudley
dunn,nc,8422,Dunn
durham,nc,289177,Durham
eagle-springs,nc,1271,Eagle Springs
earl,nc,196,Earl
east-arcadia,nc,415,East Arcadia
east-bend,nc,632,East Bend
east-flat-rock,nc,3924,East Flat Rock
east-laurinburg,nc,235,East Laurinburg
east-spencer,nc,1577,East Spencer
eastover,nc,3682,Eastover
eden,nc,15296,Eden
edenton,nc,4474,Edenton
edward,nc,40,Edward
efland,nc,5121,Efland
elizabeth-city,nc,18796,Elizabeth City
elizabethtown,nc,3287,Elizabethtown
elk-park,nc,548,Elk Park
elkin,nc,4088,Elkin
ellenboro,nc,726,Ellenboro
ellerbe,nc,854,Ellerbe
elm-city,nc,1202,Elm City
elon,nc,11184,Elon
emerald-isle,nc,3902,Emerald Isle
enfield,nc,1845,Enfield
engelhard,nc,1445,Engelhard
ennice,nc,1771,Ennice
ernul,nc,1055,Ernul
erwin,nc,4605,Erwin
ether,nc,228,Ether
etowah,nc,3616,Etowah
eure,nc,1667,Eure
eureka,nc,210,Eureka
everetts,nc,149,Everetts
evergreen,nc,1490,Evergreen
fair-bluff,nc,714,Fair Bluff
fairfield,nc,1116,Fairfield
fairmont,nc,2185,Fairmont
fairview,nc,3543,Fairview
faison,nc,782,Faison
faith,nc,821,Faith
falcon,nc,324,Falcon
falkland,nc,48,Falkland
fallston,nc,630,Fallston
farmville,nc,4484,Farmville
fayetteville,nc,209669,Fayetteville
ferguson,nc,1350,Ferguson
flat-rock,nc,3501,Flat Rock
fleetwood,nc,3003,Fleetwood
fletcher,nc,8030,Fletcher
fontana-dam,nc,11,Fontana Dam
forest-city,nc,7360,Forest City
forest-hills,nc,307,Forest Hills
fort-liberty,nc,23590,Fort Liberty
fountain,nc,387,Fountain
four-oaks,nc,2359,Four Oaks
foxfire,nc,1323,Foxfire
franklin,nc,4229,Franklin
franklinton,nc,2565,Franklinton
franklinville,nc,1209,Franklinville
fremont,nc,1187,Fremont
frisco,nc,659,Frisco
fuquay-varina,nc,56866,Fuquay Varina
gamewell,nc,3694,Gamewell
garland,nc,595,Garland
garner,nc,32018,Garner
garysburg,nc,885,Garysburg
gaston,nc,996,Gaston
gastonia,nc,81359,Gastonia
gates,nc,3050,Gates
gatesville,nc,263,Gatesville
germanton,nc,3391,Germanton
gerton,nc,251,Gerton
gibson,nc,447,Gibson
gibsonville,nc,8987,Gibsonville
glade-valley,nc,1371,Glade Valley
glen-alpine,nc,1524,Glen Alpine
glendale-springs,nc,0,Glendale Springs
glenville,nc,895,Glenville
gloucester,nc,606,Gloucester
godwin,nc,156,Godwin
gold-hill,nc,2996,Gold Hill
goldsboro,nc,33322,Goldsboro
goldston,nc,239,Goldston
graham,nc,17289,Graham
grandfather-village,nc,95,Grandfather Village
grandy,nc,2407,Grandy
granite-falls,nc,4934,Granite Falls
granite-quarry,nc,3005,Granite Quarry
grantsboro,nc,704,Grantsboro
grassy-creek,nc,946,Grassy Creek
green-level,nc,3178,Green Level
green-mountain,nc,1727,Green Mountain
greenevers,nc,568,Greenevers
greensboro,nc,299225,Greensboro
greenville,nc,88399,Greenville
grifton,nc,2476,Grifton
grimesland,nc,394,Grimesland
grover,nc,807,Grover
gulf,nc,58,Gulf
halifax,nc,164,Halifax
hallsboro,nc,1184,Hallsboro
hamilton,nc,299,Hamilton
hamlet,nc,5994,Hamlet
hampstead,nc,25655,Hampstead
hamptonville,nc,5747,Hamptonville
harbinger,nc,493,Harbinger
harkers-island,nc,1104,Harkers Island
harmony,nc,561,Harmony
harrells,nc,161,Harrells
harrellsville,nc,82,Harrellsville
harris,nc,0,Harris
harrisburg,nc,19468,Harrisburg
hassell,nc,50,Hassell
hatteras,nc,458,Hatteras
havelock,nc,16205,Havelock
haw-river,nc,2269,Haw River
hayesville,nc,462,Hayesville
hays,nc,3346,Hays
hemby-bridge,nc,1645,Hemby Bridge
henderson,nc,14848,Henderson
hendersonville,nc,15197,Hendersonville
henrico,nc,1503,Henrico
henrietta,nc,152,Henrietta
hertford,nc,1951,Hertford
hickory,nc,43692,Hickory
hiddenite,nc,4926,Hiddenite
high-point,nc,114676,High Point
high-shoals,nc,601,High Shoals
highfalls,nc,114,Highfalls
highlands,nc,1083,Highlands
hildebran,nc,1676,Hildebran
hillsborough,nc,9667,Hillsborough
hobbsville,nc,1155,Hobbsville
hobgood,nc,264,Hobgood
hobucken,nc,16,Hobucken
hoffman,nc,412,Hoffman
holden-beach,nc,939,Holden Beach
hollister,nc,3156,Hollister
holly-ridge,nc,4453,Holly Ridge
holly-springs,nc,43633,Holly Springs
hookerton,nc,412,Hookerton
hope-mills,nc,17877,Hope Mills
horse-shoe,nc,3000,Horse Shoe
hot-springs,nc,533,Hot Springs
hubert,nc,18258,Hubert
hudson,nc,3779,Hudson
huntersville,nc,61909,Huntersville
hurdle-mills,nc,3522,Hurdle Mills
icard,nc,47,Icard
indian-beach,nc,226,Indian Beach
indian-trail,nc,41061,Indian Trail
iron-station,nc,7830,Iron Station
ivanhoe,nc,1378,Ivanhoe
jackson,nc,421,Jackson
jackson-springs,nc,3271,Jackson Springs
jacksonville,nc,70631,Jacksonville
jamestown,nc,3688,Jamestown
jamesville,nc,416,Jamesville
jarvisburg,nc,1183,Jarvisburg
jefferson,nc,1607,Jefferson
jonas-ridge,nc,56,Jonas Ridge
jonesville,nc,2303,Jonesville
julian,nc,3285,Julian
kannapolis,nc,54499,Kannapolis
kelford,nc,207,Kelford
kelly,nc,871,Kelly
kenansville,nc,755,Kenansville
kenly,nc,1551,Kenly
kernersville,nc,26816,Kernersville
kill-devil-hills,nc,7809,Kill Devil Hills
king,nc,7268,King
kings-mountain,nc,11355,Kings Mountain
kingstown,nc,664,Kingstown
kinston,nc,19497,Kinston
kittrell,nc,126,Kittrell
kitty-hawk,nc,3763,Kitty Hawk
knightdale,nc,19618,Knightdale
knotts-island,nc,1819,Knotts Island
kure-beach,nc,2174,Kure Beach
la-grange,nc,2647,La Grange
lake-junaluska,nc,486,Lake Junaluska
lake-lure,nc,1369,Lake Lure
lake-park,nc,3349,Lake Park
lake-santeetlah,nc,41,Lake Santeetlah
lake-toxaway,nc,2269,Lake Toxaway
lake-waccamaw,nc,1278,Lake Waccamaw
lakeview,nc,222,Lakeview
landis,nc,3717,Landis
lansing,nc,128,Lansing
lasker,nc,59,Lasker
lattimore,nc,409,Lattimore
laurel-hill,nc,4617,Laurel Hill
laurel-park,nc,2256,Laurel Park
laurel-springs,nc,1134,Laurel Springs
laurinburg,nc,14944,Laurinburg
lawndale,nc,576,Lawndale
lawsonville,nc,1081,Lawsonville
leasburg,nc,1115,Leasburg
leggett,nc,38,Leggett
leicester,nc,13049,Leicester
leland,nc,26019,Leland
lemon-springs,nc,0,Lemon Springs
lenoir,nc,18294,Lenoir
lewiston-woodville,nc,419,Lewiston Woodville
lewisville,nc,13611,Lewisville
lexington,nc,19690,Lexington
liberty,nc,2670,Liberty
lilesville,nc,395,Lilesville
lillington,nc,4426,Lillington
lincolnton,nc,11436,Lincolnton
linden,nc,138,Linden
linville,nc,574,Linville
linwood,nc,5260,Linwood
little-switzerland,nc,85,Little Switzerland
littleton,nc,557,Littleton
locust,nc,4629,Locust
long-view,nc,5124,Long View
longwood,nc,541,Longwood
louisburg,nc,3124,Louisburg
love-valley,nc,159,Love Valley
lowell,nc,3728,Lowell
lowgap,nc,2243,Lowgap
lowland,nc,199,Lowland
lucama,nc,1032,Lucama
lumber-bridge,nc,82,Lumber Bridge
lumberton,nc,18891,Lumberton
macclesfield,nc,407,Macclesfield
macon,nc,113,Macon
madison,nc,2120,Madison
maggie-valley,nc,1721,Maggie Valley
magnolia,nc,837,Magnolia
maiden,nc,3762,Maiden
manns-harbor,nc,774,Manns Harbor
manson,nc,1613,Manson
manteo,nc,1622,Manteo
maple,nc,174,Maple
maple-hill,nc,2769,Maple Hill
marble,nc,3379,Marble
margarettsville,nc,659,Margarettsville
marietta,nc,107,Marietta
marion,nc,7536,Marion
mars-hill,nc,2093,Mars Hill
marshall,nc,793,Marshall
marshallberg,nc,444,Marshallberg
marshville,nc,2582,Marshville
marston,nc,965,Marston
marvin,nc,6517,Marvin
matthews,nc,29603,Matthews
maury,nc,91,Maury
maxton,nc,2104,Maxton
mayodan,nc,2421,Mayodan
maysville,nc,827,Maysville
mcadenville,nc,901,McAdenville
mcdonald,nc,92,McDonald
mcfarlan,nc,91,McFarlan
mcgrady,nc,1429,McGrady
mcleansville,nc,10148,McLeansville
mebane,nc,18415,Mebane
merritt,nc,777,Merritt
merry-hill,nc,1342,Merry Hill
mesic,nc,145,Mesic
micaville,nc,0,Micaville
micro,nc,475,Micro
middleburg,nc,102,Middleburg
middlesex,nc,924,Middlesex
midland,nc,4830,Midland
midway,nc,4808,Midway
midway-park,nc,5179,Midway Park
mill-spring,nc,4244,Mill Spring
millers-creek,nc,5103,Millers Creek
mills-river,nc,7129,Mills River
milton,nc,154,Milton
mineral-springs,nc,3242,Mineral Springs
minneapolis,nc,50,Minneapolis
minnesott-beach,nc,531,Minnesott Beach
mint-hill,nc,26673,Mint Hill
misenheimer,nc,637,Misenheimer
mocksville,nc,6026,Mocksville
momeyer,nc,276,Momeyer
moncure,nc,2199,Moncure
monroe,nc,35025,Monroe
montezuma,nc,25,Montezuma
montreat,nc,902,Montreat
mooresboro,nc,296,Mooresboro
mooresville,nc,51695,Mooresville
moravian-falls,nc,3142,Moravian Falls
morehead-city,nc,9712,Morehead City
morganton,nc,17507,Morganton
morrisville,nc,31353,Morrisville
morven,nc,328,Morven
mount-airy,nc,10615,Mount Airy
mount-gilead,nc,1166,Mount Gilead
mount-holly,nc,17994,Mount Holly
mount-olive,nc,4171,Mount Olive
mount-pleasant,nc,1720,Mount Pleasant
mount-ulla,nc,2643,Mount Ulla
mountain-home,nc,0,Mountain Home
moyock,nc,12612,Moyock
murfreesboro,nc,2546,Murfreesboro
murphy,nc,1625,Murphy
nags-head,nc,3199,Nags Head
nakina,nc,2245,Nakina
nashville,nc,5664,Nashville
navassa,nc,1526,Navassa
nebo,nc,7595,Nebo
new-bern,nc,31542,New Bern
new-hill,nc,4345,New Hill
new-london,nc,617,New London
newland,nc,716,Newland
newport,nc,4449,Newport
newton,nc,13225,Newton
newton-grove,nc,582,Newton Grove
norlina,nc,932,Norlina
norman,nc,100,Norman
north-topsail-beach,nc,1010,North Topsail Beach
north-wilkesboro,nc,4310,North Wilkesboro
northwest,nc,780,Northwest
norwood,nc,2403,Norwood
oak-city,nc,266,Oak City
oak-island,nc,8897,Oak Island
oak-ridge,nc,7689,Oak Ridge
oakboro,nc,2163,Oakboro
ocean-isle-beach,nc,910,Ocean Isle Beach
ocracoke,nc,715,Ocracoke
old-fort,nc,816,Old Fort
olin,nc,2326,Olin
olivia,nc,116,Olivia
oriental,nc,886,Oriental
orrum,nc,58,Orrum
ossipee,nc,541,Ossipee
otto,nc,2660,Otto
oxford,nc,8753,Oxford
pantego,nc,163,Pantego
parkton,nc,498,Parkton
parmele,nc,238,Parmele
patterson-springs,nc,581,Patterson Springs
peachland,nc,393,Peachland
peletier,nc,785,Peletier
pelham,nc,3766,Pelham
pembroke,nc,2803,Pembroke
pendleton,nc,577,Pendleton
penrose,nc,896,Penrose
pfafftown,nc,12778,Pfafftown
pikeville,nc,706,Pikeville
pilot-mountain,nc,1430,Pilot Mountain
pine-hall,nc,177,Pine Hall
pine-knoll-shores,nc,1393,Pine Knoll Shores
pine-level,nc,2143,Pine Level
pinebluff,nc,1499,Pinebluff
pinehurst,nc,18089,Pinehurst
pineola,nc,0,Pineola
pinetops,nc,1196,Pinetops
pinetown,nc,2479,Pinetown
pineville,nc,10698,Pineville
piney-creek,nc,461,Piney Creek
pink-hill,nc,454,Pink Hill
pinnacle,nc,7224,Pinnacle
pisgah-forest,nc,6720,Pisgah Forest
pittsboro,nc,4617,Pittsboro
pleasant-garden,nc,4981,Pleasant Garden
pleasant-hill,nc,862,Pleasant Hill
plumtree,nc,167,Plumtree
plymouth,nc,3281,Plymouth
point-harbor,nc,673,Point Harbor
polkton,nc,2474,Polkton
polkville,nc,519,Polkville
pollocksville,nc,266,Pollocksville
pope-army-airfield,nc,357,Pope Army Airfield
poplar-branch,nc,354,Poplar Branch
powells-point,nc,1165,Powells Point
powellsville,nc,184,Powellsville
princeton,nc,1375,Princeton
princeville,nc,1255,Princeville
proctorville,nc,117,Proctorville
prospect-hill,nc,642,Prospect Hill
providence,nc,1590,Providence
purlear,nc,2780,Purlear
raeford,nc,4551,Raeford
raleigh,nc,469892,Raleigh
ramseur,nc,1769,Ramseur
randleman,nc,4623,Randleman
ranlo,nc,4575,Ranlo
raynham,nc,62,Raynham
red-cross,nc,776,Red Cross
red-oak,nc,3366,Red Oak
red-springs,nc,3094,Red Springs
reidsville,nc,14540,Reidsville
rennert,nc,276,Rennert
rex,nc,22,Rex
rhodhiss,nc,984,Rhodhiss
rich-square,nc,870,Rich Square
richfield,nc,587,Richfield
richlands,nc,2319,Richlands
ridgecrest,nc,0,Ridgecrest
ridgeway,nc,0,Ridgeway
riegelwood,nc,4001,Riegelwood
river-bend,nc,2883,River Bend
roanoke-rapids,nc,15079,Roanoke Rapids
roaring-gap,nc,165,Roaring Gap
